;p_uf;p_pu;p_up;p_fl;p_lu;Run;followers;leaders;pheromone;unassigned
9983;0.87255859375;0.56689453125;0.16064453125;0.77783203125;0.77001953125;9983;0;0;0;110
9984;0.23876953125;0.29541015625;0.43505859375;0.21435546875;0.53271484375;9984;0;0;0;110
9985;0.93505859375;0.29541015625;0.43505859375;0.21435546875;0.53271484375;9985;0;0;0;110
9986;0.23876953125;0.25439453125;0.43505859375;0.21435546875;0.53271484375;9986;0;0;0;110
9987;0.23876953125;0.29541015625;0.47314453125;0.21435546875;0.53271484375;9987;0;0;0;110
9988;0.23876953125;0.29541015625;0.43505859375;0.59033203125;0.53271484375;9988;0;0;0;110
9989;0.23876953125;0.29541015625;0.43505859375;0.21435546875;0.45751953125;9989;0;0;0;110
9990;0.23876953125;0.25439453125;0.47314453125;0.59033203125;0.45751953125;9990;0;0;0;110
9991;0.93505859375;0.29541015625;0.47314453125;0.59033203125;0.45751953125;9991;0;0;0;110
9992;0.93505859375;0.25439453125;0.43505859375;0.59033203125;0.45751953125;9992;0;0;0;110
9993;0.93505859375;0.25439453125;0.47314453125;0.21435546875;0.45751953125;9993;0;0;0;110
9994;0.93505859375;0.25439453125;0.47314453125;0.59033203125;0.53271484375;9994;0;0;0;110
9995;0.93505859375;0.25439453125;0.47314453125;0.59033203125;0.45751953125;9995;0;0;0;110
9996;0.73876953125;0.79541015625;0.93505859375;0.71435546875;0.03271484375;9996;3;99;0;8
9997;0.43505859375;0.79541015625;0.93505859375;0.71435546875;0.03271484375;9997;2;94;0;14
9998;0.73876953125;0.75439453125;0.93505859375;0.71435546875;0.03271484375;9998;1;101;0;8
9999;0.73876953125;0.79541015625;0.97314453125;0.71435546875;0.03271484375;9999;6;99;0;5
10000;0.73876953125;0.79541015625;0.93505859375;0.09033203125;0.03271484375;10000;28;73;0;9
10001;0.73876953125;0.79541015625;0.93505859375;0.71435546875;0.95751953125;10001;0;0;0;110
10002;0.73876953125;0.75439453125;0.97314453125;0.09033203125;0.95751953125;10002;0;0;0;110
10003;0.43505859375;0.79541015625;0.97314453125;0.09033203125;0.95751953125;10003;0;0;0;110
10004;0.43505859375;0.75439453125;0.93505859375;0.09033203125;0.95751953125;10004;0;0;0;110
10005;0.43505859375;0.75439453125;0.97314453125;0.71435546875;0.95751953125;10005;0;0;0;110
10006;0.43505859375;0.75439453125;0.97314453125;0.09033203125;0.03271484375;10006;22;71;0;17
10007;0.43505859375;0.75439453125;0.97314453125;0.09033203125;0.95751953125;10007;0;0;0;110
10008;0.98876953125;0.04541015625;0.18505859375;0.46435546875;0.28271484375;10008;0;0;39;71
10009;0.18505859375;0.04541015625;0.18505859375;0.46435546875;0.28271484375;10009;0;0;37;73
10010;0.98876953125;0.00439453125;0.18505859375;0.46435546875;0.28271484375;10010;0;0;107;3
10011;0.98876953125;0.04541015625;0.72314453125;0.46435546875;0.28271484375;10011;0;0;90;20
10012;0.98876953125;0.04541015625;0.18505859375;0.34033203125;0.28271484375;10012;0;0;37;73
10013;0.98876953125;0.04541015625;0.18505859375;0.46435546875;0.70751953125;10013;0;0;38;72
10014;0.98876953125;0.00439453125;0.72314453125;0.34033203125;0.70751953125;10014;0;0;107;3
10015;0.18505859375;0.04541015625;0.72314453125;0.34033203125;0.70751953125;10015;0;0;87;23
10016;0.18505859375;0.00439453125;0.18505859375;0.34033203125;0.70751953125;10016;0;0;105;5
10017;0.18505859375;0.00439453125;0.72314453125;0.46435546875;0.70751953125;10017;0;0;107;3
10018;0.18505859375;0.00439453125;0.72314453125;0.34033203125;0.28271484375;10018;0;0;110;0
10019;0.18505859375;0.00439453125;0.72314453125;0.34033203125;0.70751953125;10019;0;0;109;1
10020;0.48876953125;0.54541015625;0.68505859375;0.96435546875;0.78271484375;10020;0;0;0;110
10021;0.68505859375;0.54541015625;0.68505859375;0.96435546875;0.78271484375;10021;0;0;0;110
